"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"BOD1L1",10,25264,7,1,0,3,2,8,0,0,0,0,0,0,3332,10,0,2,0,0
"RPL9",6,10839,7503,28,0,4,0,0,1388,0,2,8420,0,0,19,4,2,1,1,0
"PPBP",6,17225,1,14,17358,1,0,0,4,17,7,3065,8,61173,38343,41,0,104593,6,3
"BMP2K",21,39664,8,2,0,6,2,0,16,0,0,0,0,11,2,0,0,0,0,4
"JADE1",54,93,58,127,376,1082947,18,0,0,0,0,0,0,0,0,0,0,0,0,2
"RPS3A",22,33714,0,0,0,1,1,7,39603,10,3,11,6,1771,9,0,0,55726,4,1
"TRIO",10,6431,4,9,0,1,2,7,0,0,0,7,0,45,2,50,0,6,3,2
"RPL37",29,76758,17,11,6984,14,1427,1039,33538,2,15,10493,1,861,1020,505,0,7350,2,0
"GAPT",724,0,22,70262,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3R1",4,2774,63093,0,4,1,2,0,0,0,0,0,0,0,0,90,0,0,0,1
"LOC644936",0,407,0,116,16,23,0,1,325,0,0,132,0,0,0,0,0,103,0,0
"RPS23",3,8991,2,1,132,4,0,1,33,0,14,37788,5,29,79129,21,4,7711,60,0
"COX7C",7,21114,2,6,1,0,1,0,0,0,1,0,1,3,11522,0,1,10,0,0
"APC",63989,3,6,4,2,0,0,0,3,6,0,0,0,4,6548,0,0,0,0,0
"ARHGAP26",20,38148,4,4,0,106,8,15638,0,1,0,17,6,0,0,70,0,1,0,0
"CD74",2,24996,5,1,3,3,2,0,0,0,0,0,0,0,0,0,0,34,0,0
"RPS14",14,42153,4,0,1,22,2,0,0,4,5,0,0,1,3372,0,0,9136,0,0
"G3BP1",1,2854,6,10718,0,1,0,101916,4,1,5,20362,0,24,2,1,2,0,5,3
"RACK1",8,33232,0,5,0,6,3,28,216232,4,5,10,0,0,0,0,0,4,6891,6
"HIVEP1",22,51,28,61,143,450889,6,0,0,0,2,0,0,12,2,27,2,0,0,0
"JARID2",10,39810,1,3,2,16,9,0,1,0,0,0,83,0,0,49,0,0,0,0
"H2AC6",3,12951,0,3,1,4,0,0,1,5,9,0,0,0,0,0,0,6,21449,1
"RPS18",14,51172,0,599,753,13,1,3,4,1,21,36320,0,1,759,44,2,8106,34402,1
"TBC1D22B",10,33893,2,4,1,2,3,8,0,5,0,0,0,0,0,6,0,0,0,0
"ENPP4",1,10964,0,4,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,2
"RN7SK",2754,75225,11,2,3,12,5,13,51186,21,10,3138,17,65652,77725,7,4,1847,178481,3
"DST",2,91,7,0,2,0,0,835310,9,20,0,0,0,19,0,56,4,16,31,21
"EEF1A1",22,57355,5,8,5,9023,265,3230,24434,78,89,13633,0,3,1213,128,4,106738,62620,10
"PHIP",10,16705,0,0,2,2,2,18,16,0,0,0,0,4,0,6645,4,2,0,0
"TRMT11",6,2412,2,3,0,3,0,6,2,2,6,2,0,14,0,53,0,0,0,0
"LOC124900216",6,0,0,0,0,10,14,6,16,10,0,0,0,2,0,51,2,0,0,0
"RPS12",5,45837,2,6,0,13,3,0,187,1,38,1847,3,2,15425,618,0,9538,1,0
"ADGRG6",9,10,4,6,82,120263,1,0,0,0,0,0,2,0,0,31,4,0,2,0
"HIVEP2",5,545,2,0,0,1,0,7,12,4,4,0,0,2,2,78,0,6,0,11
"MTHFD1L",3,14821,2,9,0,3,2,15,73398,26,1,0,63,32,2,119,6,35414,26388,3
"LOC124901577",2,1,4,0,3,10,0,0,5,18,3,2,42,2,0,73,0,0,15,0
"ACTB",5,31374,2,1639,3405,12403,278,98,99988,9,7,33637,16,5,169,3,2,16180,19,6
