"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"SNORA109",0,287,0,0,0,1,0,0,0,0,1,116,0,0,457,171,1,114,0,0
"MSN",0,2,0,0,0,0,0,0,0,0,90,637078,18,16,13,83,17,0,0,14
"ATP7A",0,0,0,0,0,0,0,0,0,0,6,53454,2,9,0,10,0,0,0,4
"RPL39",4,13792,2,1,0,1,0,3,8,19,10,2,0,10,6012,30,0,15432,66412,1
"STK26",0,0,0,0,0,0,0,1,2,12,16,104248,2,3,7,26,4,9037,0,2
"MTM1",0,372,0,0,5,0,0,2,0,0,8,82446,1,12,5,5,2,2882,0,0
"HNRNPR_1",0,0,0,0,0,0,0,2,0,0,21,21,6,16,1,49,135867,4,0,0
"LOC124905431",0,7,0,3,0,12,1,5,3,8,0,20,0,4,21,0,3,6932,15,23
"LOC124901290_1",0,0,0,0,0,0,1,0,6,1,1,3,50,13,0,4,3,0,0,3
"LOC124905460",0,43,0,0,0,7,0,8,4,6,4,0,24,21,1,124,0,0,2,8
"GOLGA8J_1",0,7,0,0,0,0,0,0,0,0,1,0,0,6,0,9,1,0,656,0
"GOLGA8EP_1",0,31,0,0,0,0,5,0,2,6,4,0,17,0,0,18,2,2,187,2
"LOC124905533",4,0,1,1,0,4,0,6,1,3,3,1,21,12,1,491,7,2,3,1
"LOC105379507",0,0,4,2,0,2,0,16,4,14,8,5,12,31,2,131,1,0,3,1
"MAP3K7CL_1",2,6451,0,0,0,1,0,40919,1,5,1,0,0,8,13445,0,0,2381,32,0
"LOC124905545",0,40,0,0,0,4,0,4,4,4,2,0,24,19,1,113,1,0,3,1
"YTHDC1_1",0,63,0,2,0,0,0,0,0,0,14,135185,6,5,2,49,1,0,0,0
"SNHG32_1",0,0,0,0,0,0,0,0,0,0,6,73250,2,1,1,8,2,0,0,0
"RPL19P12_1",0,1343,0,0,0,0,0,0,825,1,1,5455,0,0,47,0,0,263,2741,0
"GOLGA8EP_2",0,0,0,0,0,0,5,0,0,6,2,0,0,6,1,3,2,2,47,2
"CRK_1",0,0,0,0,0,0,0,0,0,0,3,41709,3,8,0,161,1,0,0,0
"LOC105379023_1",0,42,1,3,0,0,0,112,0,2,1,0,3,0,0,64,2,0,0,1
"TNXB_2",6,0,4,0,0,0,2,0,0,0,0,0,13,9,0,99,11,0,0,2
"ARL17A_1",0,0,0,0,0,2,0,0,61,0,2,0,4,2,0,79,4,0,0,2
"TNXB_3",0,0,0,0,0,0,4,0,0,0,0,0,15,15,0,40,1,0,0,4
"TUBB_7",0,2184,0,0,0,0,0,4,295,48,0,0,0,0,0,63,1,216450,13,6
"TRNF",0,1141,2,0,0,3,1,0,0,0,6,0,0,0,173,1221,1,0,0,1
"TRNK",2,4527,0,0,0,364,1,3,2,3,2,13,1,7,15316,1,4,1232,3881,3
